Call Type,Submit Time,RESPONSE TIME,Account Name,SYSTEM ID
2,2025-06-11-08:39:50,2025-06-11-08:39:52,TATA STEEL LIMITED 01,Unnamed: 55
2,2025-06-11-08:05:56,2025-06-11-08:39:46,CELL247MT,CELL247M
2,2025-06-11-08:39:44,2025-06-11-08:39:46,SPHEREEDGE,Roupsura5
2,2025-06-11-08:39:43,2025-06-11-08:39:46,SPHEREEDGE,Roupsura4
2,2025-06-11-08:30:41,2025-06-11-08:39:47,Spherepro01,routePro16
2,2025-06-11-08:39:41,2025-06-11-08:39:47,Spherepro01,routePro16
2,2025-06-11-08:39:45,2025-06-11-08:39:47,CELL247MT,CELL247M
2,2025-06-11-08:39:45,2025-06-11-08:39:47,SPHEREEDGE,Roupsura5
2,2025-06-11-08:39:45,2025-06-11-08:39:47,Spherealpha03,routenwalfa15
2,2025-06-11-08:39:45,2025-06-11-08:39:47,Spherealpha03,routenwalfa15
2,2025-06-11-08:39:44,2025-06-11-08:39:47,Spherealpha02,routenwalfa06
2,2025-06-11-08:39:35,2025-06-11-08:39:48,Master Capital Services Ltd,
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro16
2,2025-06-11-08:39:41,2025-06-11-08:39:48,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro15
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro16
2,2025-06-11-06:16:51,2025-06-11-08:39:48,Spherepro01,routePro15
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro16
2,2025-06-11-08:39:46,2025-06-11-08:39:48,Spherepro01,routePro15
2,2025-06-11-07:51:19,2025-06-11-08:39:48,Tatasky01,tsky03
2,2025-06-11-08:39:45,2025-06-11-08:39:48,Spherepro01,routePro15
