AccountName,SystemID,SubmitCount,ResponseCount,ResponseRatio
SPHEREEDGE,Roupsura5,2,3,-50.00%
Spherealpha02,routenwalfa06,3,4,-33.33%
Spherealpha03,routenwalfa15,5,5,0.00%
Spherealpha01,routenwalfa01,3,2,33.33%
Spherepro01,routePro15,42,22,47.62%
Tatasky01,tsky01,2,2,0.00%
CELL247MT,CELL247M,1,3,-200.00%
Spherepro01,routePro16,77,53,31.17%
Tatasky01,tsky02,2,2,0.00%
TVS MOTOR COMPANY LIMITED 01,,6,3,50.00%
Tatasky01,tsky03,5,5,0.00%
Tatasky01,tsky04,2,1,50.00%
SPHEREEDGE,Roupsura1,3,3,0.00%
HEALTH ARX TECHNOLOGIES PVT LTD,,1,1,0.00%
Tatasky02,tsky07,2,2,0.00%
SPHEREEDGE,Roupsura2,4,2,50.00%
SATHYTIP,SATHYT,1,0,100.00%
Tatasky02,tsky08,1,0,100.00%
SPHEREEDGE,Roupsura3,2,2,0.00%
TATA STEEL LIMITED 01,,6,4,33.33%
Master Capital Services Ltd,,1,1,0.00%
VALUEMOB,VALUEMO,4,2,50.00%
VALUEMOB,VALUETRANS1,1,2,-100.00%
SPHEREEDGE,Roupsura4,4,4,0.00%
UNNATTI FINSERV PRIVATE LIMITED,,0,1,0.00%
TATA STEEL LIMITED 01,Unnamed: 55,0,1,0.00%
