AccountName,SystemID,SubmitCount,ResponseCount,ResponseRatio,Remarks
SPHEREEDGE,Roupsura5,2,3,-50.00%,Not an Issue
Spherealpha02,routenwalfa06,3,4,-33.33%,Not an Issue
Spherealpha03,routenwalfa15,5,5,0.00%,Healthy
Spherealpha01,routenwalfa01,3,2,33.33%,Delay in Processing
Spherepro01,routePro15,42,22,47.62%,Delay in Processing
Tatasky01,tsky01,2,2,0.00%,Healthy
CELL247MT,CELL247M,1,3,-200.00%,Not an Issue
Spherepro01,routePro16,77,53,31.17%,Delay in Processing
Tatasky01,tsky02,2,2,0.00%,Healthy
TVS MOTOR COMPANY LIMITED 01,,6,3,50.00%,Delay in Processing
Tatasky01,tsky03,5,5,0.00%,Healthy
Tatasky01,tsky04,2,1,50.00%,Delay in Processing
SPHEREEDGE,Roupsura1,3,3,0.00%,Healthy
HEALTH ARX TECHNOLOGIES PVT LTD,,1,1,0.00%,Healthy
Tatasky02,tsky07,2,2,0.00%,Healthy
SPHEREEDGE,Roupsura2,4,2,50.00%,Delay in Processing
SATHYTIP,SATHYT,1,0,100.00%,Delay in Processing
Tatasky02,tsky08,1,0,100.00%,Delay in Processing
SPHEREEDGE,Roupsura3,2,2,0.00%,Healthy
TATA STEEL LIMITED 01,,6,4,33.33%,Delay in Processing
Master Capital Services Ltd,,1,1,0.00%,Healthy
VALUEMOB,VALUEMO,4,2,50.00%,Delay in Processing
VALUEMOB,VALUETRANS1,1,2,-100.00%,Not an Issue
SPHEREEDGE,Roupsura4,4,4,0.00%,Healthy
UNNATTI FINSERV PRIVATE LIMITED,,0,1,0.00%,Healthy
TATA STEEL LIMITED 01,Unnamed: 55,0,1,0.00%,Healthy
